iter	Logloss
0	0.3467958784
1	0.3010503436
2	0.2697073783
3	0.2562616804
4	0.2422270427
5	0.2296129008
6	0.2231920897
7	0.2150901239
8	0.2093190216
9	0.2034377485
10	0.1999920738
11	0.1984885396
12	0.1960930294
13	0.1944346212
14	0.1918709151
15	0.189626527
16	0.187189901
17	0.1853147032
18	0.1813203385
19	0.1795560953
20	0.1780789773
21	0.175839385
22	0.1745447217
23	0.1736217144
24	0.1731593859
25	0.1725618436
26	0.1714376288
27	0.1704294564
28	0.1695953039
29	0.1681180769
30	0.167445882
31	0.1664622258
32	0.1649586226
33	0.1639213855
34	0.1629275965
35	0.1617585081
36	0.1608887713
37	0.16039492
38	0.1592930288
39	0.1587806628
40	0.1583815659
41	0.1580191959
42	0.1575696888
43	0.1572061189
44	0.1567044947
45	0.1561315996
46	0.1555851751
47	0.1550162944
48	0.1540616504
49	0.1534342987
50	0.1529399355
51	0.1521728633
52	0.1517010795
53	0.1513308892
54	0.1508091872
55	0.1505415007
56	0.1498385494
57	0.1495548087
58	0.148717858
59	0.148315528
60	0.1470593008
61	0.1465243138
62	0.1463561819
63	0.1461072086
64	0.1458142338
65	0.1449771104
66	0.1447172491
67	0.1443833643
68	0.1442347453
69	0.1434093823
70	0.1431488002
71	0.1429459486
72	0.1427143723
73	0.1424243171
74	0.142118959
75	0.1416276444
76	0.1413385227
77	0.1411821279
78	0.1400689117
79	0.1397368265
80	0.1394945454
81	0.1392567105
82	0.1386445078
83	0.1382791867
84	0.1380123623
85	0.137745243
86	0.1373620468
87	0.1371287464
88	0.1365600325
89	0.1361750198
90	0.1360554665
91	0.1359321023
92	0.1357977433
93	0.1354962765
94	0.1352835519
95	0.1347488045
96	0.1345220769
97	0.1343512325
98	0.1341475361
99	0.1339062226
