iter	Passed	Remaining
0	196	19476
1	300	14713
2	380	12307
3	463	11133
4	548	10423
5	622	9751
6	702	9333
7	783	9005
8	861	8709
9	935	8422
10	1015	8212
11	1091	8002
12	1170	7832
13	1250	7679
14	1327	7519
15	1407	7391
16	1486	7259
17	1566	7134
18	1651	7039
19	1723	6895
20	1803	6786
21	1875	6650
22	1954	6543
23	2027	6420
24	2102	6306
25	2182	6212
26	2260	6111
27	2334	6001
28	2408	5897
29	2486	5801
30	2561	5700
31	2633	5596
32	2716	5515
33	2792	5420
34	2871	5333
35	2955	5254
36	3037	5171
37	3114	5081
38	3194	4996
39	3270	4905
40	3343	4812
41	3417	4719
42	3491	4628
43	3565	4537
44	3643	4452
45	3719	4366
46	3795	4280
47	3874	4197
48	3950	4111
49	4024	4024
50	4102	3941
51	4177	3856
52	4255	3773
53	4330	3688
54	4410	3608
55	4481	3521
56	4558	3439
57	4629	3352
58	4709	3272
59	4785	3190
60	4861	3108
61	4936	3025
62	5008	2941
63	5086	2861
64	5158	2777
65	5234	2696
66	5307	2614
67	5383	2533
68	5453	2450
69	5530	2370
70	5605	2289
71	5676	2207
72	5750	2126
73	5830	2048
74	5905	1968
75	5981	1889
76	6056	1808
77	6129	1728
78	6204	1649
79	6280	1570
80	6355	1490
81	6427	1410
82	6502	1331
83	6574	1252
84	6647	1173
85	6721	1094
86	6795	1015
87	6866	936
88	6949	858
89	7027	780
90	7096	701
91	7171	623
92	7245	545
93	7317	467
94	7393	389
95	7473	311
96	7544	233
97	7619	155
98	7691	77
99	7766	0
